obf,count,score,alpha,beta
------------O------OOX-----XOX----XXOO----XO-O------------------ X;,6397,0,-64,64
------------------OOXX-----OXX----XXOO----XO-O------------------ X;,96,4,-64,0
--------------------XX----OXXO----XXO----OOOOO------------------ X;,14,4,-64,0
-------------------OXX-----XXX---OOOOO----XO-O------------------ X;,27,6,-64,0
-------------------OXX-----XXX----XXOO---OOO-O------------------ X;,20,6,-64,0
-------------------OXX---O-XXX----OXOO----XO-O------------------ X;,4,6,-64,0
--------------------XX----OXXO----OXO-----OOOO----O------------- X;,0,8,-64,0
-----------------OO-OX---XOXXX----XOO-----X-O------------------- X;,319,-4,0,64
------------------OOXX----XOX-----XOOO----XO-------O------------ X;,344,-4,0,64
-------------------OOX----XXOX----XXOO----XO-O------------------ X;,37,-6,0,64
------------X-----O-XX----OOXX----XOO-----XOO------------------- X;,9,-6,0,64
----------X--------X-X-----OXX---OOOOO----XO-O------------------ X;,3,-6,0,64
-----------X------O-XX----OOXX----XOO-----XOO------------------- X;,1,-8,0,64
-------------X----O-XX----OXXX---OOOO-----X-O------------------- X;,1,-8,0,64
-----------------XO-OX----XOXX----XOO-----XOO------------------- X;,0,-10,0,64
-----------X-------XOX-----XOX----XXOO----XO-O------------------ X;,0,-14,0,64
----------X-------X-OX----XOXX----OXO----OX-O------------------- X;,0,-6,0,64
--------------------XX---OOXXO----OXX-----XOO------O------------ X;,1088,0,-64,0
-------------------OXX----OOXO----XOX-----XOO------O------------ X;,610,2,-64,0
--------------------XX----OXXO----XXX----OOOO------O------------ X;,572,2,-64,0
--------------------XX----OXXO---OXXX-----OOO------O------------ X;,52,2,-64,0
-------------------OXX-----XXOO--OOOOO----XO-------------------- X;,11,2,-64,0
------------------XX------OXXO-----XXO-----OOO------OO---------- X;,1,4,-64,0
-------------------OXX-----XXOO---XXXO---OOO-------------------- X;,1,8,-64,0
-------------------OXX---O-XXOO---OXXO----XO-------------------- X;,0,10,-64,0
------------------XXXX-----OOO----OOOO----XO-------O------------ X;,586,2,-64,0
-------------O----XXOX-----OX-----OOOO----XO-------O------------ X;,0,10,-64,0
-----------O------XOXX-----OX-----OOOO----XO-------O------------ X;,0,10,-64,0
------------------XXXX-----XO-----OOOO------OO------OO---------- X;,1,12,-64,0
----------O-------XOXX-----OO-----OOOO----XO-------O------------ X;,0,12,-64,0
------------------XXXX-----XO-----OOOO------OOO-----O----------- X;,0,12,-64,0
------------O-----XXOX-----OO-----OOOO----XO-------O------------ X;,2,14,-64,0
------------------XXXX-----XO-----OOOOO-----OO------O----------- X;,0,14,-64,0
---------O--------OXXX-----OX-----OOOO----XO-------O------------ X;,0,24,-64,0
------------------X-OX----XOOOO---XOO-----O-O----O-------------- X;,0,28,-64,0
------------------XXXX-----XO-----OOOO------OO------O-O--------- X;,0,28,-64,0
------------X-----O-XX----OOXO----XXO-O---X-O------------------- X;,2,4,-64,0
-------------------OXX-----XX----XXXOO---OOO--------O----------- X;,0,4,-64,0
-------------------OXX---O-XX----XOXOO----XO--------O----------- X;,0,6,-64,0
------------X-------XX----OXXO---OOOO-O---X-O------------------- X;,0,8,-64,0
-------------------OXX-----XX---OOOOOO----XO--------O----------- X;,0,10,-64,0
------------X-------XX----OXXO----OXO-O---O-O-----O------------- X;,0,12,-64,0
------------------XXX-----OXXO-----OOO-----OOO-------O---------- X;,9,6,-64,0
------------------OXXX----OOXO-----XO-----XOO-----O------------- X;,1,8,-64,0
-------------------O-XO---XXXO----XXOO---OOO-------------------- X;,0,10,-64,0
--------------------OX----OOXO----OOOOO--OX-O------------------- X;,0,14,-64,0
-------------------O-XO---OXXO---OOOOO----XO-------------------- X;,0,14,-64,0
-------------------XXX----OXXO-----XO----OOOO-----O------------- X;,0,16,-64,0
------------O-----XXOX-----XO-----OXOO----OO------O------------- X;,3,14,-64,0
